display  D   display_settings.c:202  debug_display_settings           [   0.44243] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44246] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44247] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44250] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44251] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44255] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44257] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44261] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44263] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44265] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44267] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44269] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44273] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44276] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44286] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44289] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44291] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44293] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44296] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44298] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44300] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44302] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44304] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44306] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44308] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44310] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44313] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44314] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44317] Score is : 721
